project_name,class_name,lines_of_class,num_of_methods,weighted_mth_per_class,fan_out,responses_for_class,class_num,imports_num,non_private_methods
Collections-28f,TreeBidiMap,1519,126,258,41,262,13,8,24
Codec-18f,DaitchMokotoffSoundex,387,18,46,20,79,3,3,3
Lang-4f,ObjectUtils,273,31,67,20,70,2,2,30
JacksonXml-5f,XmlTokenStream,400,26,71,9,60,1,4,11
Codec-18f,Rule,538,29,104,44,123,3,1,6
JxPath-22f,XPathParser,3180,201,1292,8,252,3,1,195
JacksonCore-26f,TextBuffer,590,38,120,9,69,1,1,28
JxPath-22f,SimplePathInterpreter,624,22,97,24,71,1,17,3
Cli-40f,HelpFormatter,592,42,91,38,116,2,0,28
JxPath-22f,VariablePointer,306,27,54,16,80,1,11,21
JxPath-22f,CollectionPointer,204,23,40,15,60,1,10,16
JacksonXml-5f,FromXmlParser,716,50,144,13,112,1,7,27
Jsoup-93f,Tokeniser,272,25,61,18,76,1,3,22
JxPath-22f,DynamicPropertyPointer,217,16,44,13,57,1,8,11
Collections-28f,IteratorUtils,600,68,151,25,107,1,35,68
Collections-28f,MapUtils,676,73,151,41,151,1,14,71
Collections-28f,IterableUtils,456,41,70,18,87,2,4,40
Jsoup-93f,QueryParser,352,20,90,23,77,1,4,2
Gson-16f,JsonTreeReader,288,23,68,15,59,1,7,18
Codec-18f,HmacUtils,349,52,64,7,74,1,2,52
Jsoup-93f,Attributes,369,35,64,22,72,4,5,26
JxPath-22f,JXPathContextReferenceImpl,550,43,85,34,134,1,27,32
Jsoup-93f,DataUtil,216,11,47,28,67,2,10,9
Gson-16f,JsonPrimitive,203,22,41,17,64,1,2,6
Jsoup-93f,CharacterReader,471,38,104,7,59,1,2,33
JacksonXml-5f,ToXmlGenerator,963,65,306,22,178,1,9,55
Jsoup-93f,Document,368,42,66,31,119,2,6,22
Gson-16f,JsonReader,1186,37,308,14,60,1,2,20
Collections-28f,FluentIterable,168,32,36,5,62,1,1,31
